time, lat, lon, pm1.0
010/05/18T18:11:11,51.528848,-0.093391,.94
010/05/18T18:11:19,51.528800,-0.093152,.94
010/05/18T18:11:28,51.528747,-0.092942,.99
010/05/18T18:11:36,51.528689,-0.092726,.99
010/05/18T18:11:45,51.528616,-0.092530,.97
010/05/18T18:11:56,51.528542,-0.092345,1.07
010/05/18T18:12:10,51.528512,-0.092053,.96
010/05/18T18:12:26,51.528520,-0.091925,1.01
010/05/18T18:12:34,51.528478,-0.091715,1.01
010/05/18T18:12:49,51.528351,-0.091480,.93
010/05/18T18:13:01,51.528271,-0.091286,.91
010/05/18T18:13:17,51.528155,-0.091005,.95
010/05/18T18:13:26,51.528104,-0.090789,.99
010/05/18T18:13:38,51.528038,-0.090464,.99
010/05/18T18:14:14,51.527877,-0.089993,.97
010/05/18T18:14:21,51.527752,-0.089593,.97
010/05/18T18:14:25,51.527726,-0.089432,.95
010/05/18T18:14:34,51.527658,-0.089131,.95
010/05/18T18:15:25,51.527791,-0.088749,.92
010/05/18T18:15:36,51.528073,-0.088623,.92
010/05/18T18:15:48,51.528354,-0.088563,.91
010/05/18T18:16:01,51.528619,-0.088442,.87
010/05/18T18:16:22,51.528880,-0.088235,.94
010/05/18T18:16:36,51.529067,-0.087870,.96
010/05/18T18:16:43,51.529308,-0.087634,.97
010/05/18T18:16:57,51.529446,-0.087512,.99
010/05/18T18:17:03,51.529454,-0.087469,.99
010/05/18T18:17:31,51.529566,-0.087048,.92
010/05/18T18:17:47,51.529716,-0.086685,1.01
010/05/18T18:18:07,51.529966,-0.086499,1.05
010/05/18T18:18:11,51.529966,-0.086499,1.03
010/05/18T18:18:19,51.530150,-0.086447,1.03
010/05/18T18:18:23,51.530181,-0.086444,1.03
010/05/18T18:18:40,51.530319,-0.086406,.83
010/05/18T18:18:48,51.530461,-0.086336,.83
010/05/18T18:18:50,51.530515,-0.086324,.83
010/05/18T18:18:53,51.530655,-0.086306,.83
010/05/18T18:18:59,51.530878,-0.086321,.98
010/05/18T18:19:04,51.531040,-0.086345,.98
010/05/18T18:19:13,51.531184,-0.086370,.91
010/05/18T18:19:25,51.531309,-0.086455,1.02
010/05/18T18:19:33,51.531458,-0.086529,1.02
010/05/18T18:19:34,51.531478,-0.086540,1.02
010/05/18T18:19:41,51.531608,-0.086635,.94
