time, lat, lon, total
010/05/18T17:59:10,51.531970,-0.107589,39.8
010/05/18T17:59:21,51.531985,-0.107346,39.8
010/05/18T17:59:28,51.532002,-0.107117,25.5
010/05/18T17:59:39,51.532025,-0.106871,25.5
010/05/18T17:59:48,51.532052,-0.106643,16.6
010/05/18T17:59:59,51.532060,-0.106409,42
010/05/18T18:00:13,51.531987,-0.106189,47.3
010/05/18T18:00:25,51.531972,-0.106115,34.4
010/05/18T18:01:48,51.532021,-0.105910,55.9
010/05/18T18:02:04,51.531993,-0.105644,17.3
010/05/18T18:02:12,51.531858,-0.105480,67.3
010/05/18T18:02:22,51.531735,-0.105329,67.3
010/05/18T18:02:35,51.531656,-0.105124,49.5
010/05/18T18:02:44,51.531605,-0.104878,18.1
010/05/18T18:02:49,51.531556,-0.104729,18.1
010/05/18T18:03:00,51.531529,-0.104492,16.2
010/05/18T18:03:12,51.531499,-0.103941,16.3
010/05/18T18:03:24,51.531501,-0.103662,16.3
010/05/18T18:03:35,51.531448,-0.103414,51.6
010/05/18T18:03:46,51.531408,-0.103229,34.9
010/05/18T18:03:55,51.531368,-0.103013,30.4
010/05/18T18:04:06,51.531334,-0.102770,30.4
010/05/18T18:04:16,51.531301,-0.102545,20.9
010/05/18T18:04:27,51.531242,-0.102334,37
010/05/18T18:04:29,51.531229,-0.102289,37
010/05/18T18:04:43,51.531177,-0.102071,21.5
010/05/18T18:04:55,51.531106,-0.101748,26.1
010/05/18T18:05:02,51.531064,-0.101507,26.1
010/05/18T18:05:11,51.531005,-0.101296,47.2
010/05/18T18:05:25,51.530895,-0.101031,19.5
010/05/18T18:05:30,51.530843,-0.100901,19.5
010/05/18T18:05:35,51.530777,-0.100705,19.5
010/05/18T18:05:42,51.530695,-0.100521,19.1
010/05/18T18:05:54,51.530618,-0.100316,19.1
010/05/18T18:06:03,51.530567,-0.100111,8.2
010/05/18T18:06:10,51.530506,-0.099907,24.4
010/05/18T18:06:23,51.530440,-0.099643,24.4
010/05/18T18:06:35,51.530413,-0.099430,30
010/05/18T18:06:47,51.530376,-0.099219,18.2
010/05/18T18:06:57,51.530308,-0.099000,18.7
010/05/18T18:07:06,51.530243,-0.098798,18.7
010/05/18T18:07:16,51.530165,-0.098581,12.1
010/05/18T18:07:26,51.530105,-0.098386,20.6
010/05/18T18:07:36,51.530051,-0.098165,20.6
010/05/18T18:07:45,51.530020,-0.097930,20.4
010/05/18T18:07:47,51.530006,-0.097853,20.4
010/05/18T18:07:53,51.529964,-0.097638,20.4
010/05/18T18:08:01,51.529900,-0.097415,34.4
010/05/18T18:08:21,51.529837,-0.097100,22.2
010/05/18T18:08:30,51.529788,-0.096883,18
010/05/18T18:08:41,51.529680,-0.096658,23.6
010/05/18T18:08:43,51.529656,-0.096614,23.6
010/05/18T18:08:54,51.529533,-0.096443,23.6
010/05/18T18:09:07,51.529469,-0.096212,12.6
010/05/18T18:09:13,51.529457,-0.096031,13.6
010/05/18T18:09:22,51.529433,-0.095816,13.6
010/05/18T18:09:25,51.529425,-0.095735,36.1
010/05/18T18:09:34,51.529395,-0.095522,36.1
010/05/18T18:09:49,51.529359,-0.095284,21.3
010/05/18T18:10:00,51.529316,-0.094945,15.2
010/05/18T18:10:07,51.529259,-0.094790,15.2
010/05/18T18:10:15,51.529183,-0.094595,18.3
010/05/18T18:10:26,51.529108,-0.094362,21.9
010/05/18T18:10:37,51.529008,-0.094138,21.9
010/05/18T18:10:40,51.528993,-0.094099,30.9
010/05/18T18:10:49,51.528942,-0.093857,30.9
010/05/18T18:11:00,51.528899,-0.093597,16.9
010/05/18T18:11:11,51.528848,-0.093391,21.6
010/05/18T18:11:19,51.528800,-0.093152,21.6
