TimeStamp,time,TotalPM,PM10,PM2.5,PM1,particles_A,P,particles
10/05/2010,10:08:21,24.5,7.4,2.23,.5, , , 
10/05/2010,10:08:36,32,10.3,2.16,.57, , , 
10/05/2010,10:08:51,26.6,9.9,2.43,.6, , , 
10/05/2010,10:09:06,11,8.2,2.21,.6, , , 
10/05/2010,10:09:21,38.6,8.6,2.28,.57, , , 
10/05/2010,10:09:36,24.5,13.8,2.34,.63, , , 
10/05/2010,10:09:51,7.7,6.3,2.28,.5, , , 
10/05/2010,10:10:06,11,6.1,2.09,.58, , , 
10/05/2010,10:10:21,22.8,7.6,1.99,.46, , , 
10/05/2010,10:10:36,21,9.3,2.19,.55, , , 
10/05/2010,10:10:51,27.3,14.1,2.3,.62, , , 
10/05/2010,10:11:06,47.6,6.4,1.59,.42, , , 
10/05/2010,10:11:21,37.8,8.8,1.85,.61, , , 
10/05/2010,10:11:36,22.5,13.5,2.26,.52, , , 
10/05/2010,10:11:51,11.4,6.1,1.71,.46, , , 
10/05/2010,10:12:06,9.1,7.1,2,.44, , , 
10/05/2010,10:12:21,35.7,8.4,2.09,.48, , , 
10/05/2010,10:12:36,44.3,11.2,1.8,.52, , , 
10/05/2010,10:12:51,46.9,6.4,2.13,.53, , , 
10/05/2010,10:13:06,19,13.5,2.59,.7, , , 
10/05/2010,10:13:21,44.4,11.2,2.01,.57, , , 
10/05/2010,10:13:36,37.6,8.3,2.41,.53, , , 
10/05/2010,10:13:51,39.4,9.3,2.28,.59, , , 
10/05/2010,10:14:06,27.9,9.8,2.1,.5, , , 
10/05/2010,10:14:21,25.2,12.1,2.07,.52, , , 
10/05/2010,10:14:36,36.1,8.7,2.01,.56, , , 
10/05/2010,10:14:51,30,3.7,2.27,.65, , , 
10/05/2010,10:15:06,20.4,5.7,2.34,.57, , , 
10/05/2010,10:15:21,15.3,9.7,2.16,.59, , , 
10/05/2010,10:15:36,15.2,9.5,2.24,.67, , , 
10/05/2010,10:15:51,4,3.7,2.1,.53, , , 
10/05/2010,10:16:06,9.7,6.3,2.34,.59, , , 
10/05/2010,10:16:21,12.8,8.7,2.09,.53, , , 
10/05/2010,10:16:36,8.6,6.9,2.27,.51, , , 
10/05/2010,10:16:51,14.6,4.2,2.31,.62, , , 
10/05/2010,10:17:06,7,5.9,2.57,.69, , , 
10/05/2010,10:17:21,6.2,5.3,2.13,.53, , , 
10/05/2010,10:17:36,5.7,5,2.6,.67, , , 
10/05/2010,10:17:51,21.8,6.6,2.92,.68, , , 
10/05/2010,10:18:06,21.3,11.5,2.96,.65, , , 
10/05/2010,10:18:21,18.9,10.3,2.54,.56, , , 
10/05/2010,10:18:36,15.3,10.4,2.58,.53, , , 
10/05/2010,10:18:51,10.2,8.6,2.15,.58, , , 
10/05/2010,10:19:06,51.9,10.2,2.48,.67, , , 
10/05/2010,10:19:21,21.6,7.2,2.34,.65, , , 
10/05/2010,10:19:36,17.6,4.3,2.62,.64, , , 
10/05/2010,10:19:51,22.4,6,2.44,.7, , , 
10/05/2010,10:20:06,9.8,5.4,2.46,.61, , , 
10/05/2010,10:20:21,21.3,7.3,2.45,.59, , , 
10/05/2010,10:20:36,35,7.2,2.81,.73, , , 
10/05/2010,10:20:51,38.2,9.7,2.33,.68, , , 
10/05/2010,10:21:06,30.9,4.6,2.46,.6, , , 
10/05/2010,10:21:21,28.1,17.1,2.45,.66, , , 
10/05/2010,10:21:36,12.5,7.9,2.46,.57, , , 
10/05/2010,10:21:51,33.9,15.3,2.46,.57, , , 
10/05/2010,10:22:06,8.4,7.3,2.46,.53, , , 
10/05/2010,10:22:21,24,8.7,2.48,.69, , , 
10/05/2010,10:22:36,31.2,6.7,2.21,.57, , , 
10/05/2010,10:22:51,40.5,8.7,2.52,.72, , , 
10/05/2010,10:23:06,25.3,9.9,2.71,.71, , , 
10/05/2010,10:23:21,26.3,4.1,2.47,.69, , , 
10/05/2010,10:23:36,41.3,15.5,2.43,.55, , , 
10/05/2010,10:23:51,33.6,6.4,2.19,.54, , , 
10/05/2010,10:24:06,26,8.6,2.45,.59, , , 
10/05/2010,10:24:21,25.6,9.8,2.91,.62, , , 
10/05/2010,10:24:36,64.4,14.1,2.62,.72, , , 
10/05/2010,10:24:51,19,5.4,2.55,.6, , , 
10/05/2010,10:25:06,10.1,8.1,2.25,.7, , , 
10/05/2010,10:25:21,8,6.8,2.75,.72, , , 
10/05/2010,10:25:36,38,8.2,2.12,.58, , , 
10/05/2010,10:25:51,31.7,9.6,2.25,.62, , , 
